city,country,state,state_abbrev
Saint Clair Shores,United States,Michigan,MI
St. Clair Shores,United States,Michigan,MI
St. Clair Shores,United States,Michigan,MI
St. Clair County,United States,Michigan,MI
Sterling Heights,United States,Michigan,MI
Sterling Heights,United States,Michigan,MI
Stevensville,United States,Michigan,MI
Stronach,United States,Michigan,MI
Taylor,United States,Michigan,MI
Taylor,United States,Michigan,MI
Taylor,United States,Michigan,MI
Tecumseh,United States,Michigan,MI
Thunder Bay Island,United States,Michigan,MI
Traverse City,United States,Michigan,MI
Traverse City,United States,Michigan,MI
Traverse City,United States,Michigan,MI
Traverse City,United States,Michigan,MI
Traverse City,United States,Michigan,MI
Traverse City,United States,Michigan,MI
Traverse City,United States,Michigan,MI
Traverse City,United States,Michigan,MI
Traverse City,United States,Michigan,MI
Traverse City,United States,Michigan,MI
Trenton,United States,Michigan,MI
Troy,United States,Michigan,MI
Troy,United States,Michigan,MI
Troy,United States,Michigan,MI
Union,United States,Michigan,MI
Union Lake,United States,Michigan,MI
Utica,United States,Michigan,MI
Utica,United States,Michigan,MI
Utica,United States,Michigan,MI
Van Buren,United States,Michigan,MI
Vanderbilt,United States,Michigan,MI
Vandercook Lake,United States,Michigan,MI
Vassar,United States,Michigan,MI
Vernon,United States,Michigan,MI
Vienna,United States,Michigan,MI
Walled Lake,United States,Michigan,MI
Waltz,United States,Michigan,MI
Warren,United States,Michigan,MI
Warren,United States,Michigan,MI
Warren,United States,Michigan,MI
Warren,United States,Michigan,MI
Warren,United States,Michigan,MI
Warren,United States,Michigan,MI
Warren,United States,Michigan,MI
Warren,United States,Michigan,MI
Warren,United States,Michigan,MI
Warren,United States,Michigan,MI
Watersmeet,United States,Michigan,MI
Wayne,United States,Michigan,MI
Wayne,United States,Michigan,MI
Wayne,United States,Michigan,MI
Wayne,United States,Michigan,MI
Wayne,United States,Michigan,MI
Wayne,United States,Michigan,MI
Wayne,United States,Michigan,MI
Wayne,United States,Michigan,MI
West Bloomfield,United States,Michigan,MI
West Bloomfield,United States,Michigan,MI
West Bloomfield,United States,Michigan,MI
Westland,United States,Michigan,MI
Westland,United States,Michigan,MI
Westland,United States,Michigan,MI
Westland,United States,Michigan,MI
Westland,United States,Michigan,MI
Westland,United States,Michigan,MI
Westland,United States,Michigan,MI
Westland,United States,Michigan,MI
Westland,United States,Michigan,MI
Westland,United States,Michigan,MI
White Cloud,United States,Michigan,MI
Willis,United States,Michigan,MI
Ypsilanti,United States,Michigan,MI
Ypsilanti,United States,Michigan,MI
Ypsilanti,United States,Michigan,MI
Ypsilanti,United States,Michigan,MI
Academia,United States,Pennsylvania,PA
Academia,United States,Pennsylvania,PA
Academia,United States,Pennsylvania,PA
Allegheny,United States,Pennsylvania,PA
Allegheny,United States,Pennsylvania,PA
Allentown,United States,Pennsylvania,PA
Allentown,United States,Pennsylvania,PA
Allentown,United States,Pennsylvania,PA
Allentown,United States,Pennsylvania,PA
Allentown,United States,Pennsylvania,PA
